rule_id,cond,base,bez_pct,leh_pct,tez_pct,usm_pct
92,lokalita_nehody(mimo obec) & pricina_skupina(nedání přednosti),29067,44.9,46.13,6.82,2.15
94,lokalita_nehody(mimo obec) & pricina_skupina(nesprávné předjíždění),14115,63.05,29.47,5.43,2.05
33,denni_doba(noc) & pricina_skupina(nepřiměřená rychlost),32587,69.63,25.22,3.18,1.98
93,lokalita_nehody(mimo obec) & pricina_skupina(nepřiměřená rychlost),120282,54.57,38.65,4.83,1.95
81,denni_doba(večer) & pricina_skupina(nesprávné předjíždění),1810,62.38,31.1,4.59,1.93
34,denni_doba(noc) & pricina_skupina(nesprávné předjíždění),1152,65.19,28.3,4.69,1.82
49,denni_doba(odpolední špička) & pricina_skupina(nesprávné předjíždění),8629,60.23,32.02,5.98,1.77
138,pricina_skupina(nesprávné předjíždění) & den_nazev(neděle),1974,56.79,34.7,6.74,1.77
80,denni_doba(večer) & pricina_skupina(nepřiměřená rychlost),32468,64.04,30.18,4.07,1.72
130,pricina_skupina(nepřiměřená rychlost) & den_nazev(neděle),31356,60.67,33.15,4.55,1.64
141,pricina_skupina(nesprávné předjíždění) & den_nazev(sobota),2610,60.69,31.61,6.09,1.61
133,pricina_skupina(nepřiměřená rychlost) & den_nazev(sobota),36139,60.21,33.64,4.56,1.59
48,denni_doba(odpolední špička) & pricina_skupina(nepřiměřená rychlost),61716,54.81,38.72,5.0,1.47
137,pricina_skupina(nesprávné předjíždění),22897,63.99,29.54,5.05,1.42
140,pricina_skupina(nesprávné předjíždění) & den_nazev(pátek),4226,64.25,29.32,5.02,1.42
142,pricina_skupina(nesprávné předjíždění) & den_nazev(středa),3623,66.13,27.6,4.86,1.41
132,pricina_skupina(nepřiměřená rychlost) & den_nazev(pátek),33884,61.72,32.98,3.89,1.41
95,lokalita_nehody(mimo obec) & pricina_skupina(nesprávný způsob jízdy),152622,67.15,28.33,3.12,1.41
143,pricina_skupina(nesprávné předjíždění) & den_nazev(úterý),3432,64.74,29.25,4.6,1.4
129,pricina_skupina(nepřiměřená rychlost),216227,61.91,32.75,3.94,1.4
99,lokalita_nehody(mimo obec) & den_nazev(neděle),57265,68.73,26.22,3.68,1.37
102,lokalita_nehody(mimo obec) & den_nazev(sobota),63490,67.37,27.45,3.82,1.36
45,denni_doba(odpolední špička) & lokalita_nehody(mimo obec),131799,64.39,30.31,3.94,1.36
136,pricina_skupina(nepřiměřená rychlost) & den_nazev(čtvrtek),29139,62.81,32.21,3.64,1.34
2,denni_doba(dopoledne) & lokalita_nehody(mimo obec),81332,63.54,31.36,3.77,1.33
144,pricina_skupina(nesprávné předjíždění) & den_nazev(čtvrtek),3750,65.65,28.69,4.35,1.31
131,pricina_skupina(nepřiměřená rychlost) & den_nazev(pondělí),29780,62.83,32.41,3.46,1.3
135,pricina_skupina(nepřiměřená rychlost) & den_nazev(úterý),27639,63.05,31.92,3.76,1.27
139,pricina_skupina(nesprávné předjíždění) & den_nazev(pondělí),3282,65.54,28.49,4.72,1.25
20,denni_doba(neuvedeno) & pricina_skupina(nepřiměřená rychlost),3954,92.16,5.77,0.83,1.24
30,denni_doba(noc) & lokalita_nehody(mimo obec),71905,82.5,14.43,1.85,1.22
91,lokalita_nehody(mimo obec),462204,71.9,23.92,2.98,1.2
134,pricina_skupina(nepřiměřená rychlost) & den_nazev(středa),28290,62.63,32.64,3.52,1.2
100,lokalita_nehody(mimo obec) & den_nazev(pondělí),68845,73.47,22.83,2.5,1.19
101,lokalita_nehody(mimo obec) & den_nazev(pátek),74037,71.53,24.24,3.06,1.17
40,denni_doba(noc) & den_nazev(sobota),25315,79.47,17.17,2.21,1.15
105,lokalita_nehody(mimo obec) & den_nazev(čtvrtek),67564,73.43,22.68,2.73,1.15
37,denni_doba(noc) & den_nazev(neděle),22738,79.78,16.93,2.15,1.14
5,denni_doba(dopoledne) & pricina_skupina(nepřiměřená rychlost),41360,59.09,35.64,4.13,1.14
6,denni_doba(dopoledne) & pricina_skupina(nesprávné předjíždění),5923,66.08,28.23,4.56,1.13
104,lokalita_nehody(mimo obec) & den_nazev(úterý),65008,74.2,22.08,2.62,1.09
103,lokalita_nehody(mimo obec) & den_nazev(středa),65995,73.98,22.4,2.55,1.07
61,denni_doba(ranní špička) & lokalita_nehody(mimo obec),89433,72.1,24.22,2.65,1.03
77,denni_doba(večer) & lokalita_nehody(mimo obec),78705,80.66,16.15,2.2,0.99
65,denni_doba(ranní špička) & pricina_skupina(nesprávné předjíždění),5318,68.01,26.78,4.27,0.94
64,denni_doba(ranní špička) & pricina_skupina(nepřiměřená rychlost),44142,64.48,31.58,3.02,0.92
18,denni_doba(neuvedeno) & lokalita_nehody(mimo obec),9030,94.15,4.11,0.82,0.92
35,denni_doba(noc) & pricina_skupina(nesprávný způsob jízdy),55922,79.98,17.27,1.85,0.9
29,denni_doba(noc),143273,81.21,15.97,1.94,0.89
56,denni_doba(odpolední špička) & den_nazev(sobota),46063,66.41,28.94,3.79,0.85
42,denni_doba(noc) & den_nazev(úterý),17766,82.67,14.84,1.65,0.84
39,denni_doba(noc) & den_nazev(pátek),21118,81.29,15.89,1.99,0.83
53,denni_doba(odpolední špička) & den_nazev(neděle),47432,66.5,29.06,3.62,0.82
122,pricina_skupina(nedání přednosti) & den_nazev(neděle),15521,54.91,39.01,5.27,0.81
125,pricina_skupina(nedání přednosti) & den_nazev(sobota),19042,56.1,37.91,5.23,0.76
38,denni_doba(noc) & den_nazev(pondělí),18795,82.06,15.31,1.88,0.75
108,lokalita_nehody(v obci) & pricina_skupina(nepřiměřená rychlost),95945,71.1,25.35,2.83,0.72
163,den_nazev(neděle),153849,75.57,21.14,2.57,0.71
41,denni_doba(noc) & den_nazev(středa),18437,82.11,15.36,1.83,0.71
32,denni_doba(noc) & pricina_skupina(nedání přednosti),8304,52.91,40.82,5.55,0.71
87,denni_doba(večer) & den_nazev(sobota),26985,75.79,20.96,2.54,0.71
166,den_nazev(sobota),177609,75.07,21.61,2.62,0.7
84,denni_doba(večer) & den_nazev(neděle),23903,79.3,17.93,2.09,0.69
43,denni_doba(noc) & den_nazev(čtvrtek),19104,82.04,15.59,1.68,0.69
69,denni_doba(ranní špička) & den_nazev(neděle),14261,75.47,21.09,2.76,0.67
47,denni_doba(odpolední špička) & pricina_skupina(nedání přednosti),73889,55.89,38.6,4.85,0.66
90,denni_doba(večer) & den_nazev(čtvrtek),25188,79.59,17.57,2.18,0.66
123,pricina_skupina(nedání přednosti) & den_nazev(pondělí),31032,58.45,36.77,4.12,0.66
86,denni_doba(večer) & den_nazev(pátek),29069,76.93,19.86,2.55,0.66
10,denni_doba(dopoledne) & den_nazev(neděle),27306,69.19,27.15,3.01,0.65
85,denni_doba(večer) & den_nazev(pondělí),23066,80.69,16.7,1.97,0.65
76,denni_doba(večer),175415,78.87,18.25,2.23,0.65
88,denni_doba(večer) & den_nazev(středa),24036,80.48,16.87,2.01,0.64
63,denni_doba(ranní špička) & pricina_skupina(nedání přednosti),45255,60.42,34.61,4.32,0.64
124,pricina_skupina(nedání přednosti) & den_nazev(pátek),33878,58.22,36.75,4.41,0.63
121,pricina_skupina(nedání přednosti),195533,58.55,36.34,4.48,0.63
55,denni_doba(odpolední špička) & den_nazev(pátek),69564,70.25,26.29,2.84,0.63
79,denni_doba(večer) & pricina_skupina(nedání přednosti),16702,57.89,36.74,4.74,0.63
44,denni_doba(odpolední špička),419623,70.45,26.04,2.89,0.63
54,denni_doba(odpolední špička) & den_nazev(pondělí),64302,72.03,24.85,2.51,0.61
70,denni_doba(ranní špička) & den_nazev(pondělí),48863,76.02,21.28,2.11,0.6
126,pricina_skupina(nedání přednosti) & den_nazev(středa),32597,60.26,34.9,4.26,0.59
72,denni_doba(ranní špička) & den_nazev(sobota),22884,74.48,22.48,2.45,0.59
16,denni_doba(dopoledne) & den_nazev(čtvrtek),46682,76.3,20.94,2.17,0.59
127,pricina_skupina(nedání přednosti) & den_nazev(úterý),30663,59.95,34.96,4.5,0.58
4,denni_doba(dopoledne) & pricina_skupina(nedání přednosti),50872,61.98,33.64,3.81,0.58
89,denni_doba(večer) & den_nazev(úterý),23168,80.2,17.09,2.14,0.57
128,pricina_skupina(nedání přednosti) & den_nazev(čtvrtek),32800,59.13,36.04,4.27,0.56
31,denni_doba(noc) & lokalita_nehody(v obci),71368,79.9,17.52,2.03,0.56
13,denni_doba(dopoledne) & den_nazev(sobota),36261,69.73,26.75,2.97,0.55
82,denni_doba(večer) & pricina_skupina(nesprávný způsob jízdy),72178,79.48,18.08,1.89,0.55
58,denni_doba(odpolední špička) & den_nazev(úterý),61943,72.04,24.72,2.7,0.54
1,denni_doba(dopoledne),301334,74.85,22.29,2.33,0.53
165,den_nazev(pátek),244085,77.61,19.7,2.16,0.53
164,den_nazev(pondělí),229742,78.61,18.91,1.94,0.53
15,denni_doba(dopoledne) & den_nazev(úterý),44966,77.08,20.29,2.1,0.53
60,denni_doba(ranní špička),265528,76.05,21.19,2.23,0.53
57,denni_doba(odpolední špička) & den_nazev(středa),65010,72.14,24.79,2.54,0.53
59,denni_doba(odpolední špička) & den_nazev(čtvrtek),65309,71.61,25.21,2.66,0.52
73,denni_doba(ranní špička) & den_nazev(středa),45646,76.25,21.08,2.16,0.51
12,denni_doba(dopoledne) & den_nazev(pátek),51363,75.33,21.91,2.25,0.51
169,den_nazev(čtvrtek),226720,78.34,19.1,2.05,0.51
168,den_nazev(úterý),218129,78.85,18.62,2.03,0.5
11,denni_doba(dopoledne) & den_nazev(pondělí),48199,76.26,21.18,2.07,0.49
74,denni_doba(ranní špička) & den_nazev(úterý),45356,76.61,20.71,2.19,0.49
75,denni_doba(ranní špička) & den_nazev(čtvrtek),45302,76.28,21.02,2.21,0.49
146,pricina_skupina(nesprávný způsob jízdy) & den_nazev(neděle),80798,80.81,17.01,1.7,0.49
167,den_nazev(středa),225534,78.68,18.84,2.0,0.48
71,denni_doba(ranní špička) & den_nazev(pátek),43216,76.09,21.25,2.19,0.47
149,pricina_skupina(nesprávný způsob jízdy) & den_nazev(sobota),94766,80.77,17.09,1.68,0.46
14,denni_doba(dopoledne) & den_nazev(středa),46557,76.53,20.84,2.17,0.46
111,lokalita_nehody(v obci) & pricina_skupina(nezaviněná řidičem),46993,62.98,32.52,4.08,0.43
66,denni_doba(ranní špička) & pricina_skupina(nesprávný způsob jízdy),139062,82.12,15.97,1.48,0.43
50,denni_doba(odpolední špička) & pricina_skupina(nesprávný způsob jízdy),228359,77.68,20.17,1.73,0.42
109,lokalita_nehody(v obci) & pricina_skupina(nesprávné předjíždění),8782,65.49,29.65,4.44,0.42
68,denni_doba(ranní špička) & pricina_skupina(technická závada),1017,82.6,15.54,1.47,0.39
147,pricina_skupina(nesprávný způsob jízdy) & den_nazev(pondělí),136022,84.83,13.59,1.19,0.39
7,denni_doba(dopoledne) & pricina_skupina(nesprávný způsob jízdy),183963,82.15,16.06,1.4,0.39
78,denni_doba(večer) & lokalita_nehody(v obci),96710,77.41,19.96,2.25,0.38
145,pricina_skupina(nesprávný způsob jízdy),844783,83.95,14.35,1.31,0.38
107,lokalita_nehody(v obci) & pricina_skupina(nedání přednosti),166466,60.94,34.63,4.07,0.37
152,pricina_skupina(nesprávný způsob jízdy) & den_nazev(čtvrtek),131639,84.79,13.59,1.25,0.36
151,pricina_skupina(nesprávný způsob jízdy) & den_nazev(úterý),127583,85.05,13.42,1.17,0.36
150,pricina_skupina(nesprávný způsob jízdy) & den_nazev(středa),132149,84.95,13.53,1.18,0.35
148,pricina_skupina(nesprávný způsob jízdy) & den_nazev(pátek),141826,84.34,14.05,1.27,0.34
117,lokalita_nehody(v obci) & den_nazev(sobota),114119,79.36,18.36,1.95,0.33
8,denni_doba(dopoledne) & pricina_skupina(nezaviněná řidičem),17270,74.71,22.11,2.85,0.33
98,lokalita_nehody(mimo obec) & pricina_skupina(technická závada),2731,81.22,16.7,1.76,0.33
114,lokalita_nehody(v obci) & den_nazev(neděle),96584,79.63,18.13,1.91,0.33
46,denni_doba(odpolední špička) & lokalita_nehody(v obci),287824,73.22,24.09,2.41,0.29
62,denni_doba(ranní špička) & lokalita_nehody(v obci),176095,78.06,19.65,2.01,0.28
52,denni_doba(odpolední špička) & pricina_skupina(technická závada),1501,76.42,20.79,2.53,0.27
106,lokalita_nehody(v obci),1013464,80.35,17.59,1.79,0.26
51,denni_doba(odpolední špička) & pricina_skupina(nezaviněná řidičem),44884,80.54,17.1,2.11,0.25
162,pricina_skupina(technická závada),4789,80.33,17.44,1.98,0.25
115,lokalita_nehody(v obci) & den_nazev(pondělí),160897,80.81,17.23,1.7,0.25
119,lokalita_nehody(v obci) & den_nazev(úterý),153121,80.82,17.15,1.78,0.25
116,lokalita_nehody(v obci) & den_nazev(pátek),170048,80.26,17.73,1.77,0.25
3,denni_doba(dopoledne) & lokalita_nehody(v obci),220002,79.02,18.94,1.8,0.24
118,lokalita_nehody(v obci) & den_nazev(středa),159539,80.62,17.38,1.77,0.24
9,denni_doba(dopoledne) & pricina_skupina(technická závada),1330,78.2,19.4,2.18,0.23
120,lokalita_nehody(v obci) & den_nazev(čtvrtek),159156,80.43,17.58,1.76,0.23
155,pricina_skupina(nezaviněná řidičem) & den_nazev(pondělí),28424,88.63,9.87,1.29,0.2
156,pricina_skupina(nezaviněná řidičem) & den_nazev(pátek),29174,87.5,10.84,1.48,0.19
159,pricina_skupina(nezaviněná řidičem) & den_nazev(úterý),27677,88.45,10.14,1.24,0.18
158,pricina_skupina(nezaviněná řidičem) & den_nazev(středa),27727,88.13,10.35,1.35,0.17
157,pricina_skupina(nezaviněná řidičem) & den_nazev(sobota),24370,91.25,7.56,1.01,0.17
153,pricina_skupina(nezaviněná řidičem),189336,89.09,9.53,1.21,0.17
110,lokalita_nehody(v obci) & pricina_skupina(nesprávný způsob jízdy),692161,87.66,11.27,0.91,0.16
160,pricina_skupina(nezaviněná řidičem) & den_nazev(čtvrtek),28270,88.02,10.59,1.23,0.16
67,denni_doba(ranní špička) & pricina_skupina(nezaviněná řidičem),30332,89.35,9.4,1.08,0.16
113,lokalita_nehody(v obci) & pricina_skupina(technická závada),2058,79.15,18.42,2.28,0.15
25,denni_doba(neuvedeno) & den_nazev(sobota),20101,98.73,0.99,0.13,0.14
154,pricina_skupina(nezaviněná řidičem) & den_nazev(neděle),23694,92.52,6.55,0.81,0.13
36,denni_doba(noc) & pricina_skupina(nezaviněná řidičem),44702,96.71,2.77,0.4,0.11
83,denni_doba(večer) & pricina_skupina(nezaviněná řidičem),51551,94.65,4.58,0.66,0.11
96,lokalita_nehody(mimo obec) & pricina_skupina(nezaviněná řidičem),142343,97.71,1.94,0.27,0.09
22,denni_doba(neuvedeno) & den_nazev(neděle),18209,98.71,1.03,0.19,0.08
17,denni_doba(neuvedeno),170495,99.08,0.75,0.11,0.06
24,denni_doba(neuvedeno) & den_nazev(pátek),29755,99.01,0.81,0.13,0.06
28,denni_doba(neuvedeno) & den_nazev(čtvrtek),25135,99.3,0.57,0.08,0.05
27,denni_doba(neuvedeno) & den_nazev(úterý),24930,99.07,0.78,0.1,0.05
26,denni_doba(neuvedeno) & den_nazev(středa),25848,99.16,0.68,0.13,0.03
23,denni_doba(neuvedeno) & den_nazev(pondělí),26517,99.39,0.54,0.04,0.03
21,denni_doba(neuvedeno) & pricina_skupina(nesprávný způsob jízdy),165299,99.47,0.44,0.07,0.03
19,denni_doba(neuvedeno) & lokalita_nehody(v obci),161465,99.35,0.56,0.07,0.01
97,lokalita_nehody(mimo obec) & pricina_skupina(ostatní),1044,93.2,6.23,0.57,0.0
112,lokalita_nehody(v obci) & pricina_skupina(ostatní),1059,92.82,6.52,0.66,0.0
161,pricina_skupina(ostatní),2103,93.01,6.37,0.62,0.0
