rule_id,ante,base,conf,aad
5,praxe_skupina(neuvedeno) & pohlavi_osoby_vozidlo(chlapec (do 15 let)),3932,0.803,1.878
3,vek_skupina(do 24 let) & pohlavi_osoby_vozidlo(chlapec (do 15 let)),4018,0.802,1.876
11,pohlavi_osoby_vozidlo(chlapec (do 15 let)),4019,0.801,1.872
9,praxe_skupina(neuvedeno) & nejvyssi_dosazene_vzdelani(učňovská škola),10310,0.617,1.211
7,praxe_skupina(neuvedeno) & alkohol_u_vinika_skupina(ano – vysoká hladina),11747,0.594,1.128
6,praxe_skupina(neuvedeno) & alkohol_u_vinika_skupina(ano – nízká/střední hladina),4031,0.564,1.023
10,praxe_skupina(neuvedeno) & nejvyssi_dosazene_vzdelani(základní škola),8383,0.562,1.016
2,vek_skupina(65+) & praxe_skupina(neuvedeno),15776,0.52,0.865
8,praxe_skupina(neuvedeno) & nejvyssi_dosazene_vzdelani(střední škola),27741,0.516,0.852
4,vek_skupina(do 24 let) & nejvyssi_dosazene_vzdelani(základní škola),10316,0.49,0.755
1,vek_skupina(55–64) & alkohol_u_vinika_skupina(ano – vysoká hladina),3349,0.434,0.554
12,alkohol_u_vinika_skupina(ano – vysoká hladina) & nejvyssi_dosazene_vzdelani(učňovská škola),4950,0.428,0.534
